freqs,pwr
0.0,399070936.9808631
0.00390625,1148122380.9291694
0.0078125,1264833379.4981887
0.01171875,737419765.7528826
0.015625,864996185.044702
0.01953125,968167011.5188745
0.0234375,733644148.0501138
0.02734375,380333991.6714285
0.03125,154675761.93871817
0.03515625,106922760.04603629
0.0390625,177174321.79452312
0.04296875,280873099.4893246
0.046875,289614939.35115576
0.05078125,215912407.50193095
0.0546875,96629256.40601762
0.05859375,62120963.80643024
0.0625,126390121.86472361
0.06640625,184614639.20444834
0.0703125,187060141.6966561
0.07421875,126018065.4668256
0.078125,80964992.76552562
0.08203125,52506046.752242915
0.0859375,78402096.06420982
0.08984375,105579843.09339155
0.09375,94350492.18859291
0.09765625,76405490.54786839
0.1015625,53743415.05716586
0.10546875,44649721.00619801
0.109375,48020682.97131273
0.11328125,57269234.58488361
0.1171875,52412981.65632632
0.12109375,23835424.857107732
0.125,13338568.775408471
0.12890625,38382302.297435634
0.1328125,45445788.803195275
0.13671875,35693408.563335426
0.140625,24493461.35319373
0.14453125,17708111.459674727
0.1484375,371340.55383946997
0.15234375,5709506.475568544
0.15625,15065866.13018169
0.16015625,19095332.571344513
0.1640625,4579290.356409546
0.16796875,660224.5323246657
0.171875,1627081.8291408469
0.17578125,1930702.670942427
0.1796875,2480768.06136558
0.18359375,2340996.8172266805
0.1875,684805.9227694354
0.19140625,223.8173516687983
0.1953125,46416.087913381336
0.19921875,1874646.5892598752
0.203125,2439101.5092621357
0.20703125,1439571.555693212
0.2109375,908918.9617601199
0.21484375,3227.116970123592
0.21875,100.45599104798413
0.22265625,11431.212449923578
0.2265625,297827.9914917659
0.23046875,260671.39550523998
0.234375,173190.55964265592
0.23828125,318.937137174541
0.2421875,506.08381080827775
0.24609375,198712.97976807642
0.25,1439421.8434488333
0.25390625,1573685.2749419084
0.2578125,904637.5564811085
0.26171875,635.2415214978661
0.265625,531.1246375586121
0.26953125,119992.67919054157
0.2734375,857672.2784612086
0.27734375,1684187.7779813765
0.28125,1513682.2318887804
0.28515625,4909.870163991774
0.2890625,5312.588234296912
0.29296875,997628.1767974921
0.296875,2180465.2203917843
0.30078125,914886.5943947801
0.3046875,8521.93108570684
0.30859375,1867.380750056641
0.3125,51639.03323786563
0.31640625,1569886.669831977
0.3203125,1920523.9966933439
0.32421875,1128645.6592316017
0.328125,5120.924979684351
0.33203125,1381.8465658265477
0.3359375,56150.14306605637
0.33984375,452345.4382758829
0.34375,695925.2261792198
0.34765625,401886.6249941405
0.3515625,1005.375994852306
